L-firstStep;L-lastStep;L-meanAmplMidSwing;L-amplDiffTCIC;L-meanStride;L-meanStance;L-meanSwing;L-SwingStride;L-StanceStride;L-meanOneLegStance;L-meanDoubleLegSupport;L-oneLegStanceStride;L-doubleLegSupportStride;L-weg;L-meanStrideLen;L-meanStepHeight;L-aufsetzwinkel;L-abrollwinkel;L-velocity;L-velocity2;L-cadence;L-OKtilt;L-ROMShoulderX;L-ROMShoulderY;L-ROMShoulderZ;L-meanROMHipX;L-meanROMSpineX;L-meanROMHipY;L-meanROMSpineY;L-meanROMHipZ;L-meanROMSpineZ;L-StrideLength;L-StrideLength2;L-StepLength;R-firstStep;R-lastStep;R-meanAmplMidSwing;R-amplDiffTCIC;R-meanStride;R-meanStance;R-meanSwing;R-SwingStride;R-StanceStride;R-meanOneLegStance;R-meanDoubleLegSupport;R-oneLegStanceStride;R-doubleLegSupportStride;R-weg;R-meanStrideLen;R-meanStepHeight;R-aufsetzwinkel;R-abrollwinkel;R-velocity;R-velocity2;R-cadence;R-OKtilt;R-ROMShoulderX;R-ROMShoulderY;R-ROMShoulderZ;R-meanROMHipX;R-meanROMSpineX;R-meanROMHipY;R-meanROMSpineY;R-meanROMHipZ;R-meanROMSpineZ;R-StrideLength;R-StrideLength2;R-StepLength;S-lastStep;S-meanAmplMidSwing;S-amplDiffTCIC;S-meanStride;S-meanStance;S-meanSwing;S-SwingStride;S-StanceStride;S-meanOneLegStance;S-meanDoubleLegSupport;S-oneLegStanceStride;S-doubleLegSupportStride;S-weg;S-meanStrideLen;S-meanStepHeight;S-aufsetzwinkel;S-abrollwinkel;S-cadence;S-meanROMHipX;S-meanROMSpineX;S-meanROMHipY;S-meanROMSpineY;S-meanROMHipZ;S-meanROMSpineZ;S-StrideLength2;S-StepLength;P-Altersklasse;P-Geschlecht;P-KennungAnonym
3.4951456310;15.4660194200;140.0889611000;17.7669515300;1.1432038830;0.6844660190;0.4573894280;40.0684123600;59.9315876400;0.4689320390;0.2160194170;41.0191082800;18.8959660300;12.5484169200;1.3835810830;0.2470229540;7.9354691630;-21.0971996700;75.1824817500;1.2530413630;104.9681529000;12.4224260200;0.0905807740;0.0626876220;0.0922717880;5.6915383690;3.1536945380;2.5583271140;1.9250682800;6.5841794450;3.7066068700;1.3636363640;1.4324817520;0.8576642340;2.8252427180;16.0097087400;333.1318708000;57.6465492400;1.1434735710;0.6752966560;0.4689320390;40.9764150900;59.0235849100;0.4573894280;0.2172330100;40.0000000000;18.9976415100;14.9482336700;1.5918507410;0.2251308400;20.3782661100;-48.8502937000;75.1824817500;1.2530413630;104.9433962000;12.4224260200;0.0905807740;0.0626876220;0.0922717880;5.7984824630;3.5003188550;2.5159245080;2.0843226460;6.8004499740;3.9354467440;1.2500000000;1.4328196810;0.8461746420;3.4546576190;81.5868181300;105.7624890000;0.0235876870;-1.3486711620;2.4921392800;2.2407419730;-1.5266300970;-2.4921392800;0.5602240900;-2.5157232700;0.5366365800;17.4553387700;13.9992894900;-9.2732978180;87.8923026600;79.3540774500;-0.0235876870;1.8615126190;10.4185037600;-1.6712851290;7.9440677760;3.2316252050;5.9889628190;0.0235876870;-1.3486711620;0;1;1
3.7087378640;15.3300970900;145.2022626000;17.6331970800;1.1128640780;0.6638349510;0.4487594390;40.3368472100;59.6631527900;0.4595469260;0.2038834950;41.2940748800;18.3206106900;13.2034608000;1.4741068940;0.2666095940;8.2399620360;-20.8005401600;77.4436090200;1.2907268170;107.8298800000;18.4709041000;0.0392557860;0.0532315960;0.1500532310;4.7954369290;4.2238762160;3.7019210060;1.6745949680;7.0413228120;4.8065923460;1.3636363640;1.4364035090;0.8568295740;3.0000000000;14.8155339800;339.3319093000;57.1586310900;1.1104368930;0.6504854370;0.4595469260;41.4025500900;58.5974499100;0.4487594390;0.2026699030;40.4128718900;18.2513661200;14.4297319100;1.7079546830;0.1874422860;20.3228218500;-48.9943185400;77.4436090200;1.2907268170;108.0655738000;18.4709041000;0.0392557860;0.0532315960;0.1500532310;4.7271990560;4.2112468810;3.6847825170;1.8895316260;7.2654715540;4.7352634950;1.3636363640;1.4332706770;0.8395989970;-3.4138486310;80.1304254300;105.6945257000;-0.2183406110;-2.0313942750;2.3752969120;2.6075623730;-1.8022957090;-2.3752969120;-0.5970149250;-2.1569842670;-0.3786755480;8.8753487270;14.6978795500;-34.8714812300;84.6056173300;80.7904160900;0.2183406110;-1.4331719370;-0.2994463670;-0.4640361810;12.0611124100;3.1334586410;-1.4950729120;-0.2183406110;-2.0313942750;0;1;1
3.5339805830;15.1262135900;139.4564430000;19.2461741400;1.1019417480;0.6371359220;0.4638619200;42.1377875700;57.8622124300;0.4649406690;0.1723300970;42.1928536500;15.6387665200;12.9240501300;1.4555446810;0.2355081580;8.4335004480;-20.8790886300;77.6381909500;1.2939698490;108.8986784000;15.1497891700;0.0759310650;0.0408109540;0.1399119730;5.6642226980;3.3980185410;3.4227055280;1.6593270200;6.6072660130;3.5194784860;1.3636363640;1.4258793970;0.8244346730;2.8446601940;14.5631068000;341.5363852000;63.1009216600;1.1019417480;0.6371359220;0.4649406690;42.1867351900;57.8132648100;0.4638619200;0.1735436890;42.0949583900;15.7488986800;13.9264870000;1.6453463780;0.2359529560;21.0153369900;-48.9639869100;77.6381909500;1.2939698490;108.8986784000;15.1497891700;0.0759310650;0.0408109540;0.1399119730;5.7957794510;3.7629750430;3.1934192390;1.8836315850;6.7074132950;3.5561610890;1.3636363640;1.4258793970;0.8244346730;-3.7933289730;84.0261768400;106.5119470000;-0.0000000000;-0.0000000000;0.2322880370;0.1160934550;-0.0846292180;-0.2322880370;0.7017543860;-0.2322880370;0.7017543860;7.4667919240;12.2417520100;0.1886888440;85.4487826000;80.4228567000;0.0000000000;2.2959289430;10.1929012500;-6.9311355890;12.6619918600;1.5043138530;1.0368703010;-0.0000000000;-0.0000000000;0;1;1
3.5145631070;15.3009708700;139.4043545000;20.3958908000;1.1237864080;0.6638349510;0.4606256740;40.9587233000;59.0412767000;0.4650485440;0.2002427180;41.3822894200;17.8185745100;12.8282972800;1.4394385470;0.2279604220;8.2835861230;-20.7346496400;76.3591433300;1.2726523890;106.7818575000;13.7282855900;0.0358140750;0.0287070240;0.1089851170;5.9190816330;3.6172189780;3.4654078830;1.9391767660;6.5480207540;3.9200898580;1.3636363640;1.4301894560;0.8448311370;2.8349514560;15.8155339800;341.0528574000;63.5606680700;1.1294498380;0.6634304210;0.4650485440;41.2177650400;58.7822349600;0.4606256740;0.1990291260;40.7831900700;17.6217765000;14.8516326600;1.5973838260;0.2047659970;21.0522059600;-48.5081526300;76.3591433300;1.2726523890;106.2464183000;13.7282855900;0.0358140750;0.0287070240;0.1089851170;6.0388645320;3.6938629800;3.5106106900;2.1371165150;6.5049584720;3.9717238190;1.2500000000;1.4373970350;0.8443163100;3.3073322930;83.9402543900;102.8264566000;0.5026929980;-0.0609570250;0.9555995800;0.6304522040;-0.4397114590;-0.9555995800;-0.6079027360;-1.4582750660;-1.1105872490;14.6195122800;10.4020097600;-10.7201333500;87.0514748900;80.2206210000;-0.5026929980;2.0034025570;2.0966527970;1.2959485810;9.7117520810;-0.6598077140;1.3085448780;0.5026929980;-0.0609570250;0;1;1
3.1456310680;14.8252427200;143.6062412000;15.5015068000;1.1080097090;0.6577669900;0.4509169360;40.6656930800;59.3343069200;0.4573894280;0.2002427180;41.2802726100;18.0722891600;11.4628764100;1.3609520700;0.2597854020;8.0412793320;-21.2290815700;77.5083612000;1.2918060200;108.3023001000;13.8516762700;0.0571995250;0.0646875390;0.1145402990;5.7619885210;3.9685409610;2.6017246750;1.6569358480;6.7504467330;4.4736764400;1.3636363640;1.4313336120;0.8497073580;3.7087378640;15.3203883500;346.3771560000;66.8229665000;1.1067961170;0.6504854370;0.4573894280;41.2768031200;58.7231968800;0.4509169360;0.2002427180;40.7407407400;18.0921052600;14.9506344800;1.6769888260;0.1888364210;20.7516306400;-49.7322672100;77.5083612000;1.2918060200;108.4210526000;13.8516762700;0.0571995250;0.0646875390;0.1145402990;5.7441941160;3.9067735890;2.6176422240;1.7896996130;6.7145270810;4.0522380000;1.3636363640;1.4297658860;0.8403010030;3.2850241550;82.7664430600;124.6809306000;-0.1095890410;-1.1131725420;1.4251781470;1.4915582800;-1.0352752240;-1.4251781470;0.0000000000;-1.3155942430;0.1095890410;26.4088941700;20.8059845400;-31.6297500500;88.2880634200;80.3343964800;0.1095890410;-0.3093016350;-1.5686325170;0.6099417660;7.7039632550;-0.5335272340;-9.8860583990;-0.1095890410;-1.1131725420;0;1;1
3.4271844660;15.2524271800;143.4483147000;18.8598168700;1.1237864080;0.6699029130;0.4552319310;40.4487641000;59.5512359000;0.4640776700;0.2099514560;41.2958963300;18.6825054000;13.3440172600;1.4855413780;0.2486699390;8.1931311830;-20.9311852000;76.1083743800;1.2684729060;106.7818575000;12.6492654800;0.0701688410;0.0709596930;0.0776011890;4.9650317350;3.5341055700;2.6573196880;1.6536211010;6.4044784820;3.8288810720;1.3636363640;1.4254926110;0.8497536950;2.7669902910;15.7475728200;336.2620391000;63.7121319600;1.1326860840;0.6688241640;0.4640776700;40.9619047600;59.0380952400;0.4552319310;0.2111650490;40.1904761900;18.6428571400;15.6071348100;1.6324834310;0.1964051910;20.7193160000;-48.7813266400;76.1083743800;1.2684729060;105.9428571000;12.6492654800;0.0701688410;0.0709596930;0.0776011890;5.3794819910;3.6656549670;2.6383621230;1.5575432370;6.6334744080;3.9602726620;1.2500000000;1.4367816090;0.8483853310;3.1944879420;80.3875600800;108.6381410000;0.7888131950;-0.1611603550;1.9244308850;1.2606226440;-0.8654078040;-1.9244308850;0.5763688760;-2.7131411150;-0.2124467330;15.6340414100;9.4253292990;-23.4858090800;86.6490804900;79.8999797900;-0.7888131950;8.0129480510;3.6542714610;-0.7159631610;-5.9839892170;3.5127589150;3.3737064270;0.7888131950;-0.1611603550;0;1;1
3.5728155340;15.2427184500;143.4210138000;18.5546277800;1.1165048540;0.6601941750;0.4573894280;40.9178744000;59.0821256000;0.4627831720;0.1978155340;41.4492753600;17.7173913000;12.7163093700;1.3994324270;0.2668956440;8.2472528560;-21.2069929700;77.1214642300;1.2853577370;107.4782609000;12.5429647200;0.0843988660;0.0459597220;0.0718684630;5.1033856380;3.2355821760;2.4965602600;1.9435316000;6.3760044520;3.7492193210;1.3636363640;1.4351081530;0.8485856910;2.9902912620;14.6893203900;339.2483474000;65.8886722300;1.1152912620;0.6529126210;0.4627831720;41.4762422900;58.5237577100;0.4573894280;0.1966019420;41.0107604900;17.6278563700;13.6374493300;1.5938487860;0.2253866410;20.9486149600;-49.0198398400;77.1214642300;1.2853577370;107.5952122000;12.5429647200;0.0843988660;0.0459597220;0.0718684630;4.9715935610;3.4407667350;2.6067118350;1.9529380690;6.4340631840;3.7139336970;1.3636363640;1.4335482530;0.8392262900;-3.6976970480;81.1434698000;112.1084668000;-0.1087547580;-1.1090573010;1.1723329430;1.3553586560;-0.9495577610;-1.1723329430;-0.6153846150;-1.0635815750;-0.5066307050;6.9905774950;12.9901833600;-16.8639026800;87.0079436200;79.2086037700;0.1087547580;-2.6162252850;6.1466098220;4.3168999320;0.4828200820;0.9064547320;-0.9455956150;-0.1087547580;-1.1090573010;0;1;1
3.2524271840;15.2621359200;138.1454017000;17.7846628500;1.1468446600;0.6856796120;0.4606256740;40.1881246300;59.8118753700;0.4747572820;0.2135922330;41.3968254000;18.6243386200;13.3405018700;1.4834335880;0.2385205440;8.1179305190;-20.9036291400;74.9393694400;1.2489894910;104.6349206000;12.6183452400;0.0593498500;0.0641954990;0.1377193240;5.1877194530;3.0609291660;2.7069751410;2.1530189290;6.2946445400;3.7293813410;1.3636363640;1.4323969280;0.8564066290;2.5242718450;15.7864077700;328.4118459000;61.9725099900;1.1510248110;0.6763754050;0.4747572820;41.2417994400;58.7582005600;0.4606256740;0.2123786410;40.0187441400;18.4512652300;15.7935083900;1.6790896490;0.1868727560;20.5773027300;-48.6455390600;74.9393694400;1.2489894910;104.2549203000;12.6183452400;0.0593498500;0.0641954990;0.1377193240;5.2639396880;3.5161979720;2.6674027380;2.0123813690;6.5031631530;3.7722685650;1.2500000000;1.4376178930;0.8447857720;3.3771106940;81.5618855500;110.8059515000;0.3638284140;-1.3662013660;3.0215661400;2.5879302160;-1.7773030790;-3.0215661400;-0.5698005700;-3.3853015150;-0.9336241450;16.8394704100;12.3734149600;-24.2823705900;86.8393164900;79.7763959900;-0.3638284140;1.4585289200;13.8440019800;-1.4726319620;-6.7526552060;3.2586614460;1.1434077940;0.3638284140;-1.3662013660;0;1;1
3.7281553400;15.6116504900;141.3158533000;18.3339630000;1.1298543690;0.6711165050;0.4584681770;40.5895691600;59.4104308400;0.4638619200;0.2075242720;41.0550185000;18.3673469400;12.7751940900;1.4261293090;0.2374763670;8.0424285800;-21.1899162000;76.1083743800;1.2684729060;106.2083781000;13.1721402100;0.0552451020;0.0428712020;0.1913654290;5.8963532710;3.4505262200;2.6448688230;1.6657603230;6.5991006950;4.0108604860;1.3636363640;1.4331896550;0.8512931030;3.1553398060;14.9805825200;335.1949485000;58.9501288400;1.1286407770;0.6650485440;0.4638619200;41.0872162500;58.9127837500;0.4584681770;0.2075242720;40.6212664300;18.3870967700;14.2099192300;1.6409134800;0.2424166740;20.5637772500;-48.9647510100;76.1083743800;1.2684729060;106.3225806000;13.1721402100;0.0552451020;0.0428712020;0.1913654290;5.7326853440;3.7945347280;2.4928834230;1.8966637040;6.4889142910;3.9097520060;1.3636363640;1.4316502460;0.8435960590;-4.1256743890;81.3744806900;105.1087355000;-0.1074691030;-0.9082652130;1.1695906430;1.2185765760;-0.8411655980;-1.1695906430;0.0000000000;-1.0621248780;0.1074691030;10.6334564700;14.0059455000;2.0589200500;87.5428831500;79.1817163900;0.1074691030;-2.8148144150;9.4963592580;-5.9164160710;12.9632733000;-1.6837756400;-2.5530469960;-0.1074691030;-0.9082652130;0;1;1
3.4757281550;15.5242718400;140.6970699000;18.8193114800;1.1468446600;0.6820388350;0.4627831720;40.4409171100;59.5590828900;0.4708737860;0.2135922330;41.0582010600;18.6243386200;13.2878365800;1.4913801680;0.2502620280;8.1466013530;-21.0532999800;74.6978243400;1.2449637390;104.6349206000;12.4840325900;0.0649449940;0.0267629180;0.0821493240;5.3895610250;3.5982644870;2.5420882240;2.7449320210;6.3874350120;3.9450937940;1.3636363640;1.4277800160;0.8491136180;2.8252427180;16.0776699000;329.9314984000;59.6448109300;1.1499460630;0.6796116500;0.4708737860;40.9240150100;59.0759849900;0.4627831720;0.2160194170;40.2439024400;18.7851782400;15.1152796900;1.6156655610;0.1904116340;20.2355203700;-49.0348157000;74.6978243400;1.2449637390;104.3527205000;12.4840325900;0.0649449940;0.0267629180;0.0821493240;5.6138200150;3.6577107110;2.3790087950;2.8107045390;6.5035070660;4.3490405430;1.2500000000;1.4316411500;0.8460918610;3.5023041470;80.4177397200;104.0615716000;0.2700639930;-0.3565062390;1.7331022530;1.1874843110;-0.8144268140;-1.7331022530;1.1299435030;-2.0031428070;0.8598860690;12.8679056600;8.0002294010;-27.1631362900;85.1868590800;79.8466771300;-0.2700639930;4.0761833110;1.6385454130;-6.6277672890;2.3677761410;1.8008312050;9.7405403000;0.2700639930;-0.3565062390;0;1;1
