L-firstStep;L-lastStep;L-meanAmplMidSwing;L-amplDiffTCIC;L-meanStride;L-meanStance;L-meanSwing;L-SwingStride;L-StanceStride;L-meanOneLegStance;L-meanDoubleLegSupport;L-oneLegStanceStride;L-doubleLegSupportStride;L-weg;L-meanStrideLen;L-meanStepHeight;L-aufsetzwinkel;L-abrollwinkel;L-velocity;L-velocity2;L-cadence;L-OKtilt;L-ROMShoulderX;L-ROMShoulderY;L-ROMShoulderZ;L-meanROMHipX;L-meanROMSpineX;L-meanROMHipY;L-meanROMSpineY;L-meanROMHipZ;L-meanROMSpineZ;L-StrideLength;L-StrideLength2;L-StepLength;R-firstStep;R-lastStep;R-meanAmplMidSwing;R-amplDiffTCIC;R-meanStride;R-meanStance;R-meanSwing;R-SwingStride;R-StanceStride;R-meanOneLegStance;R-meanDoubleLegSupport;R-oneLegStanceStride;R-doubleLegSupportStride;R-weg;R-meanStrideLen;R-meanStepHeight;R-aufsetzwinkel;R-abrollwinkel;R-velocity;R-velocity2;R-cadence;R-OKtilt;R-ROMShoulderX;R-ROMShoulderY;R-ROMShoulderZ;R-meanROMHipX;R-meanROMSpineX;R-meanROMHipY;R-meanROMSpineY;R-meanROMHipZ;R-meanROMSpineZ;R-StrideLength;R-StrideLength2;R-StepLength;S-lastStep;S-meanAmplMidSwing;S-amplDiffTCIC;S-meanStride;S-meanStance;S-meanSwing;S-SwingStride;S-StanceStride;S-meanOneLegStance;S-meanDoubleLegSupport;S-oneLegStanceStride;S-doubleLegSupportStride;S-weg;S-meanStrideLen;S-meanStepHeight;S-aufsetzwinkel;S-abrollwinkel;S-cadence;S-meanROMHipX;S-meanROMSpineX;S-meanROMHipY;S-meanROMSpineY;S-meanROMHipZ;S-meanROMSpineZ;S-StrideLength2;S-StepLength;P-Altersklasse;P-Geschlecht
3.49515;15.46602;140.08896;17.76695;1.14320;0.68447;0.45739;40.06841;59.93159;0.46893;0.21602;41.01911;18.89597;12.54842;1.38358;0.24702;7.93547;-21.09720;75.18248;1.25304;104.96815;12.42243;0.09058;0.06269;0.09227;5.69154;3.15369;2.55833;1.92507;6.58418;3.70661;1.36364;1.43248;0.85766;2.82524;16.00971;333.13187;57.64655;1.14347;0.67530;0.46893;40.97642;59.02358;0.45739;0.21723;40.00000;18.99764;14.94823;1.59185;0.22513;20.37827;-48.85029;75.18248;1.25304;104.94340;12.42243;0.09058;0.06269;0.09227;5.79848;3.50032;2.51592;2.08432;6.80045;3.93545;1.25000;1.43282;0.84617;3.45466;81.58682;105.76249;0.02359;-1.34867;2.49214;2.24074;-1.52663;-2.49214;0.56022;-2.51572;0.53664;17.45534;13.99929;-9.27330;87.89230;79.35408;-0.02359;1.86151;10.41850;-1.67129;7.94407;3.23163;5.98896;0.02359;-1.34867;0.00000;1.00000
3.70874;15.33010;145.20226;17.63320;1.11286;0.66383;0.44876;40.33685;59.66315;0.45955;0.20388;41.29407;18.32061;13.20346;1.47411;0.26661;8.23996;-20.80054;77.44361;1.29073;107.82988;18.47090;0.03926;0.05323;0.15005;4.79544;4.22388;3.70192;1.67459;7.04132;4.80659;1.36364;1.43640;0.85683;3.00000;14.81553;339.33191;57.15863;1.11044;0.65049;0.45955;41.40255;58.59745;0.44876;0.20267;40.41287;18.25137;14.42973;1.70795;0.18744;20.32282;-48.99432;77.44361;1.29073;108.06557;18.47090;0.03926;0.05323;0.15005;4.72720;4.21125;3.68478;1.88953;7.26547;4.73526;1.36364;1.43327;0.83960;-3.41385;80.13043;105.69453;-0.21834;-2.03139;2.37530;2.60756;-1.80230;-2.37530;-0.59701;-2.15698;-0.37868;8.87535;14.69788;-34.87148;84.60562;80.79042;0.21834;-1.43317;-0.29945;-0.46404;12.06111;3.13346;-1.49507;-0.21834;-2.03139;0.00000;1.00000
3.53398;15.12621;139.45644;19.24617;1.10194;0.63714;0.46386;42.13779;57.86221;0.46494;0.17233;42.19285;15.63877;12.92405;1.45554;0.23551;8.43350;-20.87909;77.63819;1.29397;108.89868;15.14979;0.07593;0.04081;0.13991;5.66422;3.39802;3.42271;1.65933;6.60727;3.51948;1.36364;1.42588;0.82443;2.84466;14.56311;341.53639;63.10092;1.10194;0.63714;0.46494;42.18674;57.81326;0.46386;0.17354;42.09496;15.74890;13.92649;1.64535;0.23595;21.01534;-48.96399;77.63819;1.29397;108.89868;15.14979;0.07593;0.04081;0.13991;5.79578;3.76298;3.19342;1.88363;6.70741;3.55616;1.36364;1.42588;0.82443;-3.79333;84.02618;106.51195;-0.00000;-0.00000;0.23229;0.11609;-0.08463;-0.23229;0.70175;-0.23229;0.70175;7.46679;12.24175;0.18869;85.44878;80.42286;0.00000;2.29593;10.19290;-6.93114;12.66199;1.50431;1.03687;-0.00000;-0.00000;0.00000;1.00000
3.51456;15.30097;139.40435;20.39589;1.12379;0.66383;0.46063;40.95872;59.04128;0.46505;0.20024;41.38229;17.81857;12.82830;1.43944;0.22796;8.28359;-20.73465;76.35914;1.27265;106.78186;13.72829;0.03581;0.02871;0.10899;5.91908;3.61722;3.46541;1.93918;6.54802;3.92009;1.36364;1.43019;0.84483;2.83495;15.81553;341.05286;63.56067;1.12945;0.66343;0.46505;41.21777;58.78223;0.46063;0.19903;40.78319;17.62178;14.85163;1.59738;0.20477;21.05221;-48.50815;76.35914;1.27265;106.24642;13.72829;0.03581;0.02871;0.10899;6.03886;3.69386;3.51061;2.13712;6.50496;3.97172;1.25000;1.43740;0.84432;3.30733;83.94025;102.82646;0.50269;-0.06096;0.95560;0.63045;-0.43971;-0.95560;-0.60790;-1.45828;-1.11059;14.61951;10.40201;-10.72013;87.05147;80.22062;-0.50269;2.00340;2.09665;1.29595;9.71175;-0.65981;1.30854;0.50269;-0.06096;0.00000;1.00000
3.14563;14.82524;143.60624;15.50151;1.10801;0.65777;0.45092;40.66569;59.33431;0.45739;0.20024;41.28027;18.07229;11.46288;1.36095;0.25979;8.04128;-21.22908;77.50836;1.29181;108.30230;13.85168;0.05720;0.06469;0.11454;5.76199;3.96854;2.60172;1.65694;6.75045;4.47368;1.36364;1.43133;0.84971;3.70874;15.32039;346.37716;66.82297;1.10680;0.65049;0.45739;41.27680;58.72320;0.45092;0.20024;40.74074;18.09211;14.95063;1.67699;0.18884;20.75163;-49.73227;77.50836;1.29181;108.42105;13.85168;0.05720;0.06469;0.11454;5.74419;3.90677;2.61764;1.78970;6.71453;4.05224;1.36364;1.42977;0.84030;3.28502;82.76644;124.68093;-0.10959;-1.11317;1.42518;1.49156;-1.03528;-1.42518;0.00000;-1.31559;0.10959;26.40889;20.80598;-31.62975;88.28806;80.33440;0.10959;-0.30930;-1.56863;0.60994;7.70396;-0.53353;-9.88606;-0.10959;-1.11317;0.00000;1.00000
3.42718;15.25243;143.44831;18.85982;1.12379;0.66990;0.45523;40.44876;59.55124;0.46408;0.20995;41.29590;18.68251;13.34402;1.48554;0.24867;8.19313;-20.93119;76.10837;1.26847;106.78186;12.64927;0.07017;0.07096;0.07760;4.96503;3.53411;2.65732;1.65362;6.40448;3.82888;1.36364;1.42549;0.84975;2.76699;15.74757;336.26204;63.71213;1.13269;0.66882;0.46408;40.96190;59.03810;0.45523;0.21117;40.19048;18.64286;15.60713;1.63248;0.19641;20.71932;-48.78133;76.10837;1.26847;105.94286;12.64927;0.07017;0.07096;0.07760;5.37948;3.66565;2.63836;1.55754;6.63347;3.96027;1.25000;1.43678;0.84839;3.19449;80.38756;108.63814;0.78881;-0.16116;1.92443;1.26062;-0.86541;-1.92443;0.57637;-2.71314;-0.21245;15.63404;9.42533;-23.48581;86.64908;79.89998;-0.78881;8.01295;3.65427;-0.71596;-5.98399;3.51276;3.37371;0.78881;-0.16116;0.00000;1.00000
3.57282;15.24272;143.42101;18.55463;1.11650;0.66019;0.45739;40.91787;59.08213;0.46278;0.19782;41.44928;17.71739;12.71631;1.39943;0.26690;8.24725;-21.20699;77.12146;1.28536;107.47826;12.54296;0.08440;0.04596;0.07187;5.10339;3.23558;2.49656;1.94353;6.37600;3.74922;1.36364;1.43511;0.84859;2.99029;14.68932;339.24835;65.88867;1.11529;0.65291;0.46278;41.47624;58.52376;0.45739;0.19660;41.01076;17.62786;13.63745;1.59385;0.22539;20.94861;-49.01984;77.12146;1.28536;107.59521;12.54296;0.08440;0.04596;0.07187;4.97159;3.44077;2.60671;1.95294;6.43406;3.71393;1.36364;1.43355;0.83923;-3.69770;81.14347;112.10847;-0.10875;-1.10906;1.17233;1.35536;-0.94956;-1.17233;-0.61538;-1.06358;-0.50663;6.99058;12.99018;-16.86390;87.00794;79.20860;0.10875;-2.61623;6.14661;4.31690;0.48282;0.90645;-0.94560;-0.10875;-1.10906;0.00000;1.00000
3.25243;15.26214;138.14540;17.78466;1.14684;0.68568;0.46063;40.18812;59.81188;0.47476;0.21359;41.39683;18.62434;13.34050;1.48343;0.23852;8.11793;-20.90363;74.93937;1.24899;104.63492;12.61835;0.05935;0.06420;0.13772;5.18772;3.06093;2.70698;2.15302;6.29464;3.72938;1.36364;1.43240;0.85641;2.52427;15.78641;328.41185;61.97251;1.15102;0.67638;0.47476;41.24180;58.75820;0.46063;0.21238;40.01874;18.45127;15.79351;1.67909;0.18687;20.57730;-48.64554;74.93937;1.24899;104.25492;12.61835;0.05935;0.06420;0.13772;5.26394;3.51620;2.66740;2.01238;6.50316;3.77227;1.25000;1.43762;0.84479;3.37711;81.56189;110.80595;0.36383;-1.36620;3.02157;2.58793;-1.77730;-3.02157;-0.56980;-3.38530;-0.93362;16.83947;12.37341;-24.28237;86.83932;79.77640;-0.36383;1.45853;13.84400;-1.47263;-6.75266;3.25866;1.14341;0.36383;-1.36620;0.00000;1.00000
3.72816;15.61165;141.31585;18.33396;1.12985;0.67112;0.45847;40.58957;59.41043;0.46386;0.20752;41.05502;18.36735;12.77519;1.42613;0.23748;8.04243;-21.18992;76.10837;1.26847;106.20838;13.17214;0.05525;0.04287;0.19137;5.89635;3.45053;2.64487;1.66576;6.59910;4.01086;1.36364;1.43319;0.85129;3.15534;14.98058;335.19495;58.95013;1.12864;0.66505;0.46386;41.08722;58.91278;0.45847;0.20752;40.62127;18.38710;14.20992;1.64091;0.24242;20.56378;-48.96475;76.10837;1.26847;106.32258;13.17214;0.05525;0.04287;0.19137;5.73269;3.79453;2.49288;1.89666;6.48891;3.90975;1.36364;1.43165;0.84360;-4.12567;81.37448;105.10874;-0.10747;-0.90827;1.16959;1.21858;-0.84117;-1.16959;0.00000;-1.06212;0.10747;10.63346;14.00595;2.05892;87.54288;79.18172;0.10747;-2.81481;9.49636;-5.91642;12.96327;-1.68378;-2.55305;-0.10747;-0.90827;0.00000;1.00000
3.47573;15.52427;140.69707;18.81931;1.14684;0.68204;0.46278;40.44092;59.55908;0.47087;0.21359;41.05820;18.62434;13.28784;1.49138;0.25026;8.14660;-21.05330;74.69782;1.24496;104.63492;12.48403;0.06494;0.02676;0.08215;5.38956;3.59826;2.54209;2.74493;6.38744;3.94509;1.36364;1.42778;0.84911;2.82524;16.07767;329.93150;59.64481;1.14995;0.67961;0.47087;40.92402;59.07598;0.46278;0.21602;40.24390;18.78518;15.11528;1.61567;0.19041;20.23552;-49.03482;74.69782;1.24496;104.35272;12.48403;0.06494;0.02676;0.08215;5.61382;3.65771;2.37901;2.81070;6.50351;4.34904;1.25000;1.43164;0.84609;3.50230;80.41774;104.06157;0.27006;-0.35651;1.73310;1.18748;-0.81443;-1.73310;1.12994;-2.00314;0.85989;12.86791;8.00023;-27.16314;85.18686;79.84668;-0.27006;4.07618;1.63855;-6.62777;2.36778;1.80083;9.74054;0.27006;-0.35651;0.00000;1.00000
